,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,栗原　陵矢,4,10,9,10,7,5,7,3,5,2,5,2,7,7,7,7,5,5
2,柳田　悠岐,7,9,9,10,8,6,8,2,6,6,2,1,8,9,8,9,7,7
3,中村　晃,1,9,9,9,6,3,5,1,7,3,7,6,7,7,4,4,4,4
4,甲斐　拓也,1,10,8,9,4,4,4,2,4,2,2,9,8,6,5,4,3,3
5,今宮　健太,1,8,8,8,3,2,3,1,2,1,6,8,9,4,3,2,2,2
6,松田　宣浩,1,7,7,8,3,4,4,2,2,2,6,2,7,5,6,4,3,4
7,三森　大貴,1,5,7,7,3,1,2,5,1,1,6,2,10,4,4,2,2,2
8,デスパイネ,3,5,7,6,2,4,4,1,4,2,6,1,6,8,6,7,5,5
9,牧原　大成,4,5,6,6,3,2,2,4,1,2,8,4,9,6,5,4,4,3
10,周東　佑京,1,4,4,4,1,2,1,6,1,1,7,4,10,4,3,1,2,2
11,グラシアル,7,2,4,3,1,3,1,1,1,1,9,1,9,8,7,7,5,5
12,真砂　勇介,2,4,3,3,1,1,1,1,1,1,8,2,10,5,4,3,3,3
13,川島　慶三,1,3,3,3,1,1,1,1,1,1,8,2,10,6,5,4,4,4
14,長谷川　勇也,3,4,3,3,1,2,1,1,1,1,9,1,10,8,6,6,5,5
15,リチャード,1,2,3,3,1,3,2,1,1,2,8,1,10,3,6,4,3,3
16,明石　健志,1,3,2,2,1,1,1,1,1,1,9,1,10,5,2,1,2,2
17,上林　誠知,1,2,2,2,1,1,1,1,1,1,9,1,10,2,4,1,1,1
18,バレンティン,1,2,2,2,1,2,1,1,1,1,9,1,10,4,7,5,3,3
19,谷川原　健太,1,3,2,1,1,1,1,1,1,1,9,2,10,4,2,1,1,1
20,柳町　達,1,2,2,1,1,1,1,1,1,1,10,1,10,6,5,4,3,3
