選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
近本　光司,8,9,10,10,9,4,5,6,3,4,7,3,8,8,6,6,5,5
マルテ,2,8,9,9,6,5,7,1,7,4,6,1,4,8,7,7,5,5
中野　拓夢,4,9,9,9,6,1,3,8,2,6,5,8,8,6,4,3,4,4
大山　悠輔,3,8,9,9,6,5,7,1,3,2,5,1,5,6,7,6,4,4
糸原　健斗,5,8,8,9,6,1,3,2,4,2,6,1,7,7,5,4,4,4
サンズ,1,8,8,9,5,5,6,1,4,1,5,1,6,7,7,6,4,5
梅野　隆太郎,1,8,8,9,4,2,3,3,4,5,3,4,5,6,4,3,2,2
佐藤　輝明,1,8,8,9,5,5,6,2,2,3,1,1,10,5,7,5,4,4
ロハス・ジュニア,1,4,5,4,1,3,2,1,1,2,7,1,10,5,5,4,3,3
木浪　聖也,1,5,3,3,1,1,1,1,1,1,9,2,10,4,4,2,2,3
糸井　嘉男,1,4,3,3,1,2,1,1,1,1,8,1,9,4,4,3,2,3
島田　海吏,1,3,2,2,1,1,1,3,1,1,10,2,10,5,3,2,3,3
坂本　誠志郎,1,3,2,2,1,1,1,1,1,1,9,2,10,3,3,1,2,2
小野寺　暖,1,2,2,2,1,1,1,1,1,1,9,1,10,3,3,1,1,1
原口　文仁,1,3,2,1,1,1,1,1,1,4,10,1,10,7,3,3,3,3
北條　史也,1,2,2,2,1,1,1,1,1,1,10,2,10,4,4,2,2,2
陽川　尚将,1,3,2,1,1,1,1,1,1,2,9,1,10,4,4,2,2,2
山本　泰寛,1,4,2,1,1,1,1,1,1,1,10,1,10,5,3,2,3,3
小幡　竜平,3,3,1,1,1,1,1,1,1,1,10,1,10,6,5,5,4,4
板山　祐太郎,1,3,1,1,1,1,1,1,1,1,10,1,10,4,5,3,2,2
植田　海,9,4,1,1,1,1,1,4,1,1,10,1,10,10,4,6,10,10
熊谷　敬宥,1,4,1,1,1,1,1,3,1,1,10,1,10,1,1,1,1,2
江越　大賀,1,2,1,1,1,1,1,2,1,1,10,1,10,1,1,1,1,2
