背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
20,戸郷　翔征,4.27,26,9,8,0,0,.529,639,151.2,130,19,58,6,138,75,72,1.24,4.16
47,髙橋　優貴,3.39,27,11,9,0,0,.550,598,140.2,125,18,61,2,76,57,53,1.32,5.00
18,菅野　智之,3.19,19,6,7,0,0,.462,465,115.2,90,15,25,7,102,41,41,0.99,3.85
45,畠　世周,3.07,52,4,3,1,11,.571,390,96.2,83,13,25,4,97,37,33,1.12,3.73
42,メルセデス,3.77,17,7,5,0,0,.583,369,86.0,96,5,22,5,74,36,36,1.37,3.06
99,山口　俊,3.56,15,2,8,0,0,.200,337,78.1,66,6,37,3,83,34,31,1.31,3.49
15,サンチェス,4.68,14,5,5,0,0,.500,317,73.0,82,13,23,3,54,40,38,1.44,5.02
26,今村　信貴,2.71,17,3,4,0,0,.429,274,63.0,66,5,22,3,59,21,19,1.40,3.47
49,ビエイラ,2.93,56,0,3,19,1,.000,228,55.1,38,3,26,1,64,18,18,1.16,2.98
41,中川　皓太,2.47,58,4,3,1,25,.571,220,54.2,47,2,10,5,49,17,15,1.04,2.57
30,鍵谷　陽平,3.19,59,3,0,1,15,1.000,182,42.1,39,5,18,0,30,19,15,1.35,4.51
12,デラロサ,2.83,46,1,0,7,13,1.000,175,41.1,38,3,12,2,34,15,13,1.21,3.43
53,高梨　雄平,3.69,55,2,2,1,20,.500,171,39.0,34,2,21,5,47,17,16,1.41,3.07
59,田中　豊樹,2.84,39,0,0,0,2,.000,152,38.0,22,5,20,1,37,13,12,1.11,4.38
50,戸根　千明,4.82,29,2,0,1,0,1.000,161,37.1,25,4,24,3,36,20,20,1.31,4.75
35,桜井　俊貴,5.40,29,1,0,0,6,1.000,145,33.1,35,7,16,1,20,20,20,1.53,6.09
64,大江　竜聖,4.09,47,0,0,0,13,.000,145,33.0,29,2,17,2,23,16,15,1.39,4.15
57,高木　京介,4.42,15,1,0,0,1,1.000,81,18.1,22,1,7,0,15,9,9,1.58,3.34
23,野上　亮磨,1.65,9,0,1,1,4,.000,63,16.1,8,1,6,0,15,3,3,0.86,3.00
54,直江　大輔,4.91,4,0,1,1,0,.000,51,11.0,15,1,4,2,4,6,6,1.73,5.21
62,横川　凱,3.38,2,0,1,0,0,.000,37,8.0,9,2,2,0,9,4,3,1.38,4.87
21,井納　翔一,14.40,5,0,1,0,0,.000,26,5.0,11,3,1,0,5,8,8,2.40,9.52
11,平内　龍太,14.40,3,0,1,0,0,.000,24,5.0,8,2,2,0,5,8,8,2.00,7.52
90,戸田　懐生,0.00,3,0,0,0,0,.000,12,3.0,3,0,1,0,0,0,0,1.33,4.12
17,大竹　寛,3.86,4,0,0,0,1,.000,11,2.1,5,0,0,0,0,1,1,2.14,3.12
92,沼田　翔平,7.71,2,0,0,0,0,.000,11,2.1,3,1,1,0,3,2,2,1.71,6.12
63,古川　侑利,18.00,1,0,0,0,0,.000,11,2.0,3,1,3,1,0,4,4,3.00,14.12
19,山崎　伊織,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,太田　龍,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,鍬原　拓也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,伊藤　優輔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,山本　一輝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,井上　温大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,堀岡　隼人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
