,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,柳　裕也,7,6,7,5,1,1,8,7,1,10,7,8,5,2,9
2,小笠原　慎之介,4,6,6,1,1,1,1,5,1,10,6,5,3,1,6
3,大野　雄大,6,5,5,1,1,1,1,7,1,10,8,5,5,2,9
4,福谷　浩司,2,4,4,1,1,1,1,8,1,10,9,3,4,1,7
5,勝野　昌慶,4,4,3,5,1,1,1,8,1,10,8,3,6,3,6
6,松葉　貴大,5,3,5,6,1,1,5,9,3,10,8,2,7,5,8
7,又吉　克樹,10,10,3,8,3,7,8,9,8,10,9,2,9,9,9
8,ロドリゲス,4,3,2,7,1,1,1,9,2,10,5,3,7,6,2
9,藤嶋　健人,9,8,2,10,1,3,10,9,7,10,10,1,9,9,10
10,祖父江　大輔,6,9,2,8,2,5,1,9,9,1,9,1,8,8,4
11,Ｒ．マルティネス,7,8,2,7,6,1,1,10,9,10,9,2,9,8,10
12,福　敬登,5,9,3,8,1,5,4,9,6,10,7,1,8,7,8
13,橋本　侑樹,4,6,1,10,1,1,1,10,10,1,9,1,9,8,7
14,谷元　圭介,7,7,2,9,1,4,4,10,7,1,9,1,9,9,9
15,鈴木　博志,1,4,3,10,1,1,10,10,8,1,8,1,9,8,6
16,笠原　祥太郎,1,1,1,8,1,1,1,10,6,10,10,1,9,8,1
17,田島　慎二,7,5,3,9,1,3,9,10,10,1,10,1,9,9,8
18,岡田　俊哉,2,4,1,9,1,1,1,10,9,1,10,1,9,9,1
19,山本　拓実,1,2,2,10,1,1,10,10,9,1,9,1,9,9,1
20,森　博人,6,3,1,10,1,1,1,10,10,1,7,1,9,9,1
21,梅津　晃大,9,1,1,9,1,1,1,10,10,10,8,1,9,9,4
